comment,score
BRO THE SCENE WHEN GRIZZBOLT JUST MAKES A KUNG FU TECHNICHE ON THE ENEMYS I HOPE THEY ADDED THIS,0
I see more contents coming based on the announcement trailer.,0
The crying sheep shield has nearly sold me on this ngl,0
I fucking lost it when I saw the bunnies on the assembly line,0
we all gonna ignore that squirrel pall that was holding a gun aswell??,0
Craftopia 2: We asset-flipped some guns and pokemon this time.,0
poor pengullets 5 pengullet are trapped in a cage,0
"This is a game that I am <span class="""" dir=""auto"" style=""font-weight: 500;"">incredibly",0
The best pokemon gun ever,1
Was playing palworld and remembered I actually watched this trailer before. So glad that the wait is really worth it.,1
well that took a turn,0
how are you guys commenting this 2 years ago and not 2 weeks ago?,0
"I love how this trailer goes from ""Aww, this is awesome!"" to ""..was that a gun?"" and then to ""SLAVE LABOUR???""",1
"""I'm gonna make a Mon game""""Nice. It's gonna be cute and family-friendly, right?""* smiles *""It's gonna be cute and family-friendly, right?""",0
PETA is gonna have a fit seeing this.,0
I hope we somehow get to all the unimplented stuff from this trailer one day,0
"This is like some Pokemon, Spirited Away, Call of Duty, Mabinogi, Final Fantasy, Mario, and Harvest Moon hybrid game. Looks amazing",1
"I am from 2024 <span class=""yt-core-attributed-string--inline-block-mod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😂"" class=""ytCoreImageHost yt-core-attributed-string__image-element yt-core-attributed-string__image-element--image-alignment-vertical-center ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Palworld - Announce Trailer - YouTube_files/emoji_u1f602.png"">",0
It was normal for like the first few seconds but then the guns came out and this became hilarious,1
"When kids turn 10, they get a pokemon and ak47",0
Would love for this stuff to be fully in the game when completed,1
if only building was as good as displayed.,1
"wow, they really exceeded expectations. now its trending<span class=""yt-core-attributed-string--inline-block-mod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😁"" class=""ytCoreImageHost yt-core-attributed-string__image-element yt-core-attributed-string__image-element--image-alignment-vertical-center ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Palworld - Announce Trailer - YouTube_files/emoji_u1f601.png"">",0
FINALLY POKEMON GUN WERE YOU SHOOT THE POKEMON ITS PERFECTION,0
"I remember watching the first palworld trailer in 2021, I might be mistaken but I think the AI boom came about a year later or so, and still very undeveloped, this does not invalid the help of AI later on, but the plans for the game and many pal designs were obviously planned ahead.",-2
the edge on this is so sharp it made 12 year old me cry,0
Anyone still playing?,0
Nice to know nothing eventful happened today where this video would suddenly see some engagement. Nothing at all......Can't think of a good pokemon pun here. Apologies.,2
"Yea the early access does look a lot better, Cool to go back and watch this trailer tho :)",1
War. War never changes.It was the year 20xx on the Kanto region when Team Magma attacked...,0
this trailer is so different from the main game now :D,0
"Alright, let's make a gameLet's just combine everything we think of",0
Se ve una gran mejora con la version actual. Buen trabajo,0
"2 years later, 2024 GOTY im calling it",0
This has got to be the best trailer I’ve ever seen.,1
We really need to tell everyone to show this trailer ASAP,0
Wow the quality really improved,0
can we appreciate how unironically good the score on thsi trailer is??,1
"This is the game I wanted. Why does it look so much different <span class=""yt-core-attributed-string--inline-block-mod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😢"" class=""ytCoreImageHost yt-core-attributed-string__image-element yt-core-attributed-string__image-element--image-alignment-vertical-center ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Palworld - Announce Trailer - YouTube_files/emoji_u1f622.png"">",0
THIS SHIT IS TWO YEARS OLD???,-1
"My first ever pal, and my favorite, is foxsparks, whom I've named Mayhem, and I take him with me everywhere!",1
Thank god they changed so much...,0
hype! thank you for working hard to make this! I like it very much,2
Love how the pals don't clash against the environment in the trailer.  Sadly they stick out like a sore thumb in the release.,2
"Looking back on this trailer, theres a lot. like a LOT different now thats its released.",1
"Having issues catching a pokemon? Palworld fixes that, just shoot it",0
This game sure blew up and exceeded all expectations! Congratulations!!!,0
"this looks dope as hell, but the guns look way too realistic. It really clashes.",0
This is the new world Cyrus was trying to create,0
"GOTY right away, the true reality of pokemon being slaves, guns and housing",0
Pokemon ACTUAL enslavement edition. This whole trailer was a roller coaster lmaooo,0
Pokémon : America,0
this entire thing feels like some crazy-ass fever dream,1
I like how they show the pals enslaved like it's a bad point in the story when in fact you're the one doing it,1
Cant wait to see that shiny ponyta reshiram pal that was near suzaku at the beginning when it comes out,0
"Pocket Pair really went ""Nintendo didn't make Pokemon Gun so we will.""",0
Whoa whoa whoa!! I did not see that coming!,0
Real Talk where's the Girl on The Jormuntide in the Actual Game though,0
I wonder if any of the locations not in the game that show up here will be in it in the future.,0
"Casi nada de eso esta!!<span class=""yt-core-attributed-string--inline-block-mod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😭"" class=""ytCoreImageHost yt-core-attributed-string__image-element yt-core-attributed-string__image-element--image-alignment-vertical-center ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Palworld - Announce Trailer - YouTube_files/emoji_u1f62d.png"">",0
"Who wouldve known this trailer would become the greatest game weve ever seen.... im truly obsessed and addicted to this beautiful game that has so much thought and detail put into it i literally think about it from the time i get off till the time im about ti get back on again and it helps work go by quicker, what a truly fresh breath of air for gaming",0
Can't wait for Palworld nuzlockes,0
what the heck? i wish we got this game!,0
"I sure hope that ""Wooloo"" has Bulletproof.  &gt;.&lt;",0
anyone else here after early launch?,0
Is it bad I think they should have kept with that art style for the land scape,-1
made my day,0
"NOT THE SHEEP SHIELD!!!! <span class=""yt-core-attributed-string--inline-block-mod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😂"" class=""ytCoreImageHost yt-core-attributed-string__image-element yt-core-attributed-string__image-element--image-alignment-vertical-center ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Palworld - Announce Trailer - YouTube_files/emoji_u1f602.png"">",0
"I kinda likd the brighter color approach more.I assume they tried to Genshin impact or Pokemon for that matter.Although the current one looks also good with somewhat ""realistic environment"", I do prefer for those bright anime/cartoonish environment.",1
"Maybe it's a good thing I hadn't seen it before and hadn't heard about this game, because the wait would have been agony.... Now I can't tear myself away from it!",1
Somehow this is like digimon and pokemon mixed together.,1
"Watching this now, for me this old art style is way more appealing",0
The addition of guns makes this really weird. Other than that this looks really good.,1
who knew this would even come out let alone be fun,1
I am so damn confused because this looks like Pokemon meets something like BOTW or Genshin and then suddenly all the characters start fuckin' shooting eachother with assault rifles.This seems amazing tho I want this.,2
PokeGun: Gotta Blast 'em All!,0
did that pacharisu just use a gun,0
Me: wow that's beautifulMe 2 seconds later: DOES THAT SQUIRREL HAVE A GUN!?!?,0
IT FINALLY CAME OUT AND IT'S EVERYTHING I'VE HOPED FOR,0
the game changed so much now its literaly one of my favorite games,1
THIS is what that one Pokémon colosseum trailer was warning us about!,0
its strange that they announce a new game when their last/acutal game craftopia is in early access hell with very slow progression at all. Take it with a grain of salt.,0
"""PETA is typing...""",0
looking back at this is so funny. You delivered exactly what you promised and thats more than quite some AAA Game Company.,0
I personally love my sweatshop and love this game,2
A year later it’s almost year god damn his game look fire and I hope it’s unique and challenging . And actually had a in depth combat system to make the pets more than what’s shown in the trailer .,0
And now we re all hooked,0
"I am so into this, don't screw this up",0
It's unfortunate how so much of these mechanics and interesting aspects of pals and even structures like the giant castle was scrapped.,1
They deleted this trailer from their channel. It's ok if most of what's shown here is not in the game. The game still has way more content that we see here,0
this was absolute madness. I love it and i would buy several copies. just give me,1
"Looks fun. I definitely wanna play this game and see all the weird interactions with each animal.I'm not sure if any monster collection game will ever be able to compete with Pokemon because I think anything that tries to be a better ""pokemon"" game will just be seen as another Pokemon ripoff. In that sense, Game Freak essentially has a monopoly on monster collecting games which is sad because it means Game Freak can have generation 9 with no new Pokemon and instead have 100 new Charizard forms and people would still probably buy it because there's no alternative. And I'm not sure there will <span class="""" dir=""auto"" style=""font-weight: 500;"">ever",-2
"Can’t wait for these additions <span class=""yt-core-attributed-string--inline-block-mod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""❤"" class=""ytCoreImageHost yt-core-attributed-string__image-element yt-core-attributed-string__image-element--image-alignment-vertical-center ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Palworld - Announce Trailer - YouTube_files/emoji_u2764.png"">",0
"After the way the world has been this year, I am totally up for a Pokémon cruelty simulator.",0
Wish they kept this artstyle tbh,0
Where are these features?,0
"One of my customers said ""its pokemon with guns""No, it's Arkfactorioofthewild.",0
"If all this content here is not in by the time they finish the ""alpha phase""Then we all gonna be very disappointed.",0
That bass though,0
"Is it just me or most of thing have been shown in this trailer are not in the game <span class=""yt-core-attributed-string--inline-block-mod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😅"" class=""ytCoreImageHost yt-core-attributed-string__image-element yt-core-attributed-string__image-element--image-alignment-vertical-center ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Palworld - Announce Trailer - YouTube_files/emoji_u1f605.png"">",0
"Pokemon and the 2nd Amendment, The Combo we didn't know we needed",0
What a BRUTAL WORLD IS THIS !??,0
Why they changed it. It was way better of what it got right now,0
"As people could expect, this game is an absolute masterpiece.",0
"Well, this went from “Pokémon with guns!” To “damn, this really is just every game with guns combined.”",0
"The Pokémon game I’ve been waiting for <span class=""yt-core-attributed-string--inline-block-mod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""🔥"" class=""ytCoreImageHost yt-core-attributed-string__image-element yt-core-attributed-string__image-element--image-alignment-vertical-center ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Palworld - Announce Trailer - YouTube_files/emoji_u1f525.png"">",0
Such a shame we'll never get this game.  Whatever the devs turned it into it is not this.,0
Best laugh I've had all week.,1
Why did we not get this game?,0
Holly Molly it looks so much different,0
Pokemon with guns? I don't think this game will ever catch on. I bet it'll get like 10 players at most,1
THIS TRAILER LOOKS LIKE A 3D SURREAL ANIMATION HALFWAY THROUGH,1
still think the fact they made pals being enslaved one of the main theme ridiculusly funny,0
"In a world, where GTA, Pokemon and Minecraft, i guess idk, come together to create...Palworld. This looks awesome btw i'm really interested to see this game lol.",1
Why does the game in this trailer look better than what we got?,0
Time to defeat the badguys with the power of friendship!. . . and this gun i found!,0
If only half these things were in the final game,0
dude this is awesome i can't wait to give the funny penguins guns,1
This game sure had a glow up,0
Pokemon Rust Expansion looks sick.,0
the game changed so much!,0
Why did that woman chucking the discount wooloo sync up with the music so well,0
what,0
i have 0 fucking idea what i just saw in this trailer but im hyped,0
"2 year later the game is here and has way less options then shown here, were are all those towns in the final game??",0
As soon as I saw the guns I was like.....guys are gonna love this,1
You guys still here ? The game already launch and watching all 2 years back comments is just funny !,0
"Nice geme wait for you<span class=""yt-core-attributed-string--inline-block-mod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""❤"" class=""ytCoreImageHost yt-core-attributed-string__image-element yt-core-attributed-string__image-element--image-alignment-vertical-center ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Palworld - Announce Trailer - YouTube_files/emoji_u2764.png"">",1
So glad this didn’t end up as a fake game that never comes out,1
I love how casually it glossed over Not-Pokemon slave labor XD,1
And the game went on to hit unreasonably hard what an absolute banger,0
I have never received such whiplash as I received 50 seconds into the trailer.,0
"First half: <span class="""" dir=""auto"" style=""font-weight: 500;"">shows the beautiful world of pokemon",0
this looks pretty sick ngl,0
"And here we are, somehow it worked out",0
PETA: *sweats nervously,0
So it's Pokemon..with guns. I'm interested!,0
Where’s all the villages and cool castles and stuff?,1
And Now It’s Growing Much Bigger In Every Update Now &gt;;),0
This went from 0 to 100 real quick,0
Everything is way better now including graphics,0
"""Ah this isn't so bad...""<span class="""" dir=""auto"" style=""font-weight: 500;"">Factory slave labor scene",0
"Am I the only one who prefers the art style here over what we got in the final game, I hope this is just for the alpha",0
Casual dynamite fishing in the end sold me,0
"... what a <span class="""" dir=""auto"" style=""font-weight: 500;"">weird",0
"Damn, pal combat seems way better in this trailer. Looks like pals could actually do m1 attacks here",1
Here before it blows up 2024 best game of the year,1
Pokemon Gun looks LIT,0
I love Palworld but hopefully there's an update option I can toggle for the original cartoony environment because I think it looks good,2
Instant wishlist,0
Remember when we all thought this game was gonna be shit and then it turned out to be incredible,0
"This is from when it was still being made in Unity isn’t it? Also, the cow pal has changed so much.",0
Man what happened to half the stuff in the beginning? Where is it at?,0
I need this.N o w.,0
I love hpw popular this game is without millions of views for the trailer,1
well.... that took a turn,0
It’s a shame a lot of the features shown here did not make it into the final product.,0
That's just straight up Lycanroc... also GUUUUUUUN!,0
"Do you think the elevator pitch for this went something like ""Okay, so, stick with me here: 'Pokemon...but with slave labor'.""",1
"Tem tantos pals bonitos, pals grandes, pals fortes....",0
My god I like this art style so much more than what the game looks like now,2
Damn this Pokémon sword &amp; shield dlc going hard,0
You should finish your other Early Access NintendoIP + automation games before announcing more.,0
WHAT DID THE LAMBALL EVER DO TO YOU? :((((,0
who would have thought that this would be the game of the year ( i am straight out guessing its 23/02/24 right now ),0
"Nice to see a video game adaptation of Mark C. Mackinnon's ""Cute And Fuzzy Cockfighting Seizure Monsters"" that he published in 2000",1
"""Everyone is getting tired of the same old Pokemon formula... We need something fresh, something new! So we decided to turn to the internet for our next idea..."" Every 8 year old ever...""I ThInK yOu ShOuLd cOmBiNe FoRtNiTe WiTh PoKeMoN!"" ""You heard the 8 yr olds... Get to work...""",0
"Wait... Did she just use a lightning-mon to fish via electrocution?? <span class=""yt-core-attributed-string--inline-block-mod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""🤣"" class=""ytCoreImageHost yt-core-attributed-string__image-element yt-core-attributed-string__image-element--image-alignment-vertical-center ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Palworld - Announce Trailer - YouTube_files/emoji_u1f923.png"">",0
The better version of palworld,0
Is ... is this the FabledPOKEMON GUN!,0
"Now that the game's out, I can't say I expected it to be almost exactly like the trailer.It starts off as a cute (depending on your character) Pokémon game with a lot of base building, that quickly escalates into <span class=""yt-core-attributed-string--italicized"" dir=""auto"" style=""font-weight: 500;"">using a fox as a flamethrower to kill thugs, or even capture the thugs and use them as slaves.",1
I don't know what's happening but I am on board with it,0
"Ngl, this version looks way better",0
"Magical creatures and wapons... cool<span class=""yt-core-attributed-string--inline-block-mod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😁"" class=""ytCoreImageHost yt-core-attributed-string__image-element yt-core-attributed-string__image-element--image-alignment-vertical-center ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Palworld - Announce Trailer - YouTube_files/emoji_u1f601.png"">",1
Pokemon Gun mixed with capitalism at its finest.,0
Wow now look at it being successful 2 years later,0
"Everybody else is talking about how hilarious this trailer is, and I agree, but what I'm most interested in is how boring those designs are. They're all such obvious off-brand pokemon without any of the design flair of actual pokemon.",-1
Hmm supriswd how much has changed,0
Fact: This trailer is made better if you mute it and play the intense part of Sins of The Father from MGS5 over it.,0
I can't wait to 360 no scope pokemon and then do a drive by with my flying types,-1
Imagine only having 400k+ views on your game's trailer and get 19 million players on the 2nd week since release. Take notes Nintendo.,0
"Yo, if we get a FarCry Pokémon Co-op where my Houndoom Burns BoB the Builder Penguins alive with a Sableye providing cover fire with a Mac10 I’m all for this<span class=""yt-core-attributed-string--inline-block-mod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😂"" class=""ytCoreImageHost yt-core-attributed-string__image-element yt-core-attributed-string__image-element--image-alignment-vertical-center ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Palworld - Announce Trailer - YouTube_files/emoji_u1f602.png"">",0
How the hell was this better optimized than Scarlet and Violet?,0
I want to play this game now.,0
"Like if your here in 2024<span class=""yt-core-attributed-string--inline-block-mod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😄"" class=""ytCoreImageHost yt-core-attributed-string__image-element yt-core-attributed-string__image-element--image-alignment-vertical-center ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Palworld - Announce Trailer - YouTube_files/emoji_u1f604.png"">",1
Shame how much of this content was removed from Palworld's EA release.  It doesn't play anything like this trailer,1
Pokemon meets Ark meets PETA...i love it.,1
"Damn the game is cool but so much lie in the trailer <span class=""yt-core-attributed-string--inline-block-mod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😆"" class=""ytCoreImageHost yt-core-attributed-string__image-element yt-core-attributed-string__image-element--image-alignment-vertical-center ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Palworld - Announce Trailer - YouTube_files/emoji_u1f606.png"">",1
How times change !!,0
"<span class=""yt-core-attributed-string--inline-block-mod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""👇🏻"" class=""ytCoreImageHost yt-core-attributed-string__image-element yt-core-attributed-string__image-element--image-alignment-vertical-center ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Palworld - Announce Trailer - YouTube_files/emoji_u1f447_1f3fb.png"">",0
3年前!!!?,0
"These players laughing in this comment section 2 years ago now enjoying this game <span class=""yt-core-attributed-string--inline-block-mod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😂"" class=""ytCoreImageHost yt-core-attributed-string__image-element yt-core-attributed-string__image-element--image-alignment-vertical-center ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Palworld - Announce Trailer - YouTube_files/emoji_u1f602.png"">",0
"Say it with me: surprise surprise, SURPRISE SURPRISE <span class=""yt-core-attributed-string--inline-block-mod"" style=""margin-left: 2px; margin-right: 2px;""><img alt=""😂"" class=""ytCoreImageHost yt-core-attributed-string__image-element yt-core-attributed-string__image-element--image-alignment-vertical-center ytCoreImageContentModeScaleToFill ytCoreImageLoaded"" style=""height: 16px; width: 16px;"" src=""./Palworld - Announce Trailer - YouTube_files/emoji_u1f602.png"">",0
They lied to us... The game looks 10000x better and nothing like the trailer,1
"""It's like Pokémon with guns""",1
I love this. It's like a cynical take on Pokemon.,2
this just feels like some kid's elevator pitch that combines Pokemon with COD,1
"My dude, I’m... I’m sorry, I genuinely cannot tell what kind of vibes this trailer (or the Steam game description) is supposed to give off. Here you’ve got Pokémon-esque designs for the monsters (yes I know not all mongames are Pokémon, I am involved in the general mongame community and these designs are very much Pokémon-esque), helping you build houses, make fires, farm land... that’s neat and all, but then GUNS??? FACTORIES??? USING THE MONSTERS AS MEAT SHIELDS AND FOOD AND FACTORY WORKERS??? Like, okay, I could understand more if the creature designs were more realistic-looking, but these are cutesy Pokémon-style designs and they are mixing with the worldbuilding in an utterly bizarre way to the point where I cannot determine what kind of vibes this is meant to give off. Is this a parody? Comedy? Or are we meant to take this edgy worldbuilding with cutesy monsters seriously? I cannot tell.What is going on??EDIT: like okay I finally figured it out—this is giving me the vibes of late-90s anti-Pokémon websites and not in a good way (if that even can be considered “good”).",4
ive never been more excited for a pokemon game,0
